ticker,as_of,insider,position,transaction,shares,value,ownership
NFLX,2026-04-02,NEUMANN SPENCER ADAM,Chief Financial Officer,Sale at price 98.00 per share.,28630,2805740.0,D
NFLX,2026-04-01,HASTINGS REED,Director,Conversion of Exercise of derivative security at price 9.44 per share.,420550,3968730.0,D
NFLX,2026-04-01,HASTINGS REED,Director,Sale at price 95.02 - 96.66 per share.,420550,40156465.0,D
NFLX,2026-03-02,NEUMANN SPENCER ADAM,Chief Financial Officer,Conversion of Exercise of derivative security at price 35.80 - 38.10 per share.,28630,1076356.0,D
NFLX,2026-03-02,HASTINGS REED,Director,Conversion of Exercise of derivative security at price 9.67 per share.,410550,3968787.0,D
NFLX,2026-03-02,HASTINGS REED,Director,Sale at price 96.06 - 97.59 per share.,410550,39828612.0,D
NFLX,2026-03-02,NEUMANN SPENCER ADAM,Chief Financial Officer,Sale at price 97.00 per share.,28630,2777110.0,D
NFLX,2026-02-27,NEUMANN SPENCER ADAM,Chief Financial Officer,Conversion of Exercise of derivative security at price 32.98 - 35.80 per share.,57260,1960884.0,D
NFLX,2026-02-27,NEUMANN SPENCER ADAM,Chief Financial Officer,Sale at price 95.00 - 96.00 per share.,57260,5468330.0,D
NFLX,2026-02-10,WILLEMS CLETUS R,Officer,Sale at price 82.67 per share.,3136,259253.0,D
NFLX,2026-02-10,PETERS GREGORY K.,Chief Executive Officer,Sale at price 82.74 - 84.40 per share.,27312,2273454.0,D
NFLX,2026-02-09,HYMAN DAVID A,Officer,Sale at price 81.06 per share.,5727,464231.0,D
NFLX,2026-02-06,NEUMANN SPENCER ADAM,Chief Financial Officer,Sale at price 81.27 per share.,9248,751598.0,D
NFLX,2026-02-05,HASTINGS REED,Director,Stock Gift at price 0.00 per share.,241944,0.0,I
NFLX,2026-02-02,HASTINGS REED,Director,Conversion of Exercise of derivative security at price 10.15 per share.,390970,3968736.0,D
NFLX,2026-02-02,HASTINGS REED,Director,Sale at price 83.22 - 84.96 per share.,390970,32695591.0,D
NFLX,2026-01-29,PETERS GREGORY K.,Chief Executive Officer,Sale at price 82.87 - 83.75 per share.,105781,8773028.0,D
NFLX,2026-01-16,HYMAN DAVID A,Officer,Sale at price 88.11 per share.,23439,2065206.0,D
NFLX,2026-01-15,SMITH BRADFORD LEE,Director,Conversion of Exercise of derivative security at price 9.31 - 10.57 per share.,31790,312557.0,D
NFLX,2026-01-15,SMITH BRADFORD LEE,Director,Sale at price 88.27 - 89.86 per share.,31790,2824821.0,D
NFLX,2026-01-07,HYMAN DAVID A,Officer,Stock Award(Grant) at price 0.00 per share.,43500,0.0,D
NFLX,2026-01-07,SARANDOS THEODORE ANTHONY JR.,Chief Executive Officer,Stock Award(Grant) at price 0.00 per share.,207420,0.0,D
NFLX,2026-01-07,NEUMANN SPENCER ADAM,Chief Financial Officer,Stock Award(Grant) at price 0.00 per share.,70260,0.0,D
NFLX,2026-01-07,PETERS GREGORY K.,Chief Executive Officer,Stock Award(Grant) at price 0.00 per share.,207420,0.0,D
NFLX,2026-01-02,HASTINGS REED,Director,Conversion of Exercise of derivative security at price 9.31 per share.,426290,3969186.0,D
NFLX,2026-01-02,HASTINGS REED,Director,Sale at price 91.18 - 94.00 per share.,426290,39077470.0,D
NFLX,2025-12-01,HASTINGS REED,Director,Conversion of Exercise of derivative security at price 10.57 per share.,375470,3968718.0,D
NFLX,2025-12-01,HASTINGS REED,Director,Sale at price 106.85 - 108.89 per share.,375470,40712436.0,D
